filepath,filename,actual_class,predicted_class,confidence,prob_crack,prob_normal,prob_hole,prob_scratch,prob_rust
dataset/raw/crack/crack_00420.png,crack_00420.png,Crack,Normal,0.6648,0.2614,0.6648,0.0324,0.0198,0.0216
dataset/raw/crack/crack_00959.png,crack_00959.png,Crack,Normal,0.3762,0.2769,0.3762,0.1108,0.1329,0.1032
dataset/raw/crack/crack_01098.png,crack_01098.png,Crack,Normal,0.5646,0.2979,0.5646,0.0787,0.0125,0.0463
dataset/raw/crack/crack_01127.png,crack_01127.png,Crack,Normal,0.5394,0.3039,0.5394,0.08,0.0098,0.0669
dataset/raw/crack/crack_01512.png,crack_01512.png,Crack,Normal,0.699,0.2328,0.699,0.0605,0.0018,0.0059
dataset/raw/crack/crack_01741.png,crack_01741.png,Crack,Normal,0.4995,0.2404,0.4995,0.1604,0.0156,0.084
dataset/raw/crack/crack_01824.png,crack_01824.png,Crack,Normal,0.4879,0.3341,0.4879,0.0488,0.039,0.0902
dataset/raw/crack/crack_01893.png,crack_01893.png,Crack,Normal,0.4925,0.413,0.4925,0.0737,0.0059,0.015
dataset/raw/crack/crack_02083.png,crack_02083.png,Crack,Normal,0.5134,0.3956,0.5134,0.0321,0.0376,0.0213
dataset/raw/crack/crack_02242.png,crack_02242.png,Crack,Normal,0.4275,0.3604,0.4275,0.1122,0.0425,0.0573
dataset/raw/crack/crack_02305.png,crack_02305.png,Crack,Normal,0.7985,0.0947,0.7985,0.061,0.027,0.0188
dataset/raw/crack/crack_02382.png,crack_02382.png,Crack,Normal,0.6447,0.1569,0.6447,0.0548,0.0598,0.0839
dataset/raw/crack/crack_02570.png,crack_02570.png,Crack,Normal,0.5282,0.3188,0.5282,0.1239,0.008,0.0211
dataset/raw/crack/crack_02738.png,crack_02738.png,Crack,Normal,0.5292,0.3812,0.5292,0.0152,0.062,0.0124
dataset/raw/crack/crack_02912.png,crack_02912.png,Crack,Normal,0.7248,0.1753,0.7248,0.057,0.0142,0.0288
dataset/raw/crack/crack_02951.png,crack_02951.png,Crack,Normal,0.4675,0.348,0.4675,0.1578,0.0204,0.0063
dataset/raw/hole/hole_00301.png,hole_00301.png,Hole,Normal,0.6153,0.0204,0.6153,0.3502,0.0022,0.0119
dataset/raw/hole/hole_02165.png,hole_02165.png,Hole,Normal,0.5156,0.0057,0.5156,0.4673,0.0013,0.0101
dataset/raw/normal/normal_00796.png,normal_00796.png,Normal,Crack,0.4495,0.4495,0.4397,0.0575,0.0174,0.0359
dataset/raw/normal/normal_01822.png,normal_01822.png,Normal,Rust,0.4985,0.0206,0.1916,0.2384,0.051,0.4985
dataset/raw/normal/normal_01855.png,normal_01855.png,Normal,Hole,0.3809,0.1363,0.332,0.3809,0.0448,0.1059
dataset/raw/normal/normal_02722.png,normal_02722.png,Normal,Rust,0.4359,0.0824,0.3562,0.0672,0.0583,0.4359
dataset/raw/normal/normal_02931.png,normal_02931.png,Normal,Hole,0.421,0.0631,0.3654,0.421,0.0285,0.1219
dataset/raw/rust/rust_01297.png,rust_01297.png,Rust,Hole,0.3123,0.14,0.0206,0.3123,0.309,0.2181
dataset/raw/scratch/scratch_01158.png,scratch_01158.png,Scratch,Normal,0.5602,0.055,0.5602,0.0616,0.302,0.0212
dataset/raw/scratch/scratch_01442.png,scratch_01442.png,Scratch,Crack,0.5436,0.5436,0.0062,0.1297,0.3138,0.0067
dataset/raw/scratch/scratch_02065.png,scratch_02065.png,Scratch,Normal,0.4385,0.1117,0.4385,0.253,0.1668,0.03
dataset/raw/scratch/scratch_02468.png,scratch_02468.png,Scratch,Crack,0.6535,0.6535,0.0036,0.0158,0.2994,0.0276
dataset/raw/scratch/scratch_02841.png,scratch_02841.png,Scratch,Crack,0.6853,0.6853,0.0037,0.02,0.2763,0.0147
