filename,filepath,source,ground_truth,predicted_class,confidence,confidence_tier,is_correct,prob_crack,prob_normal,prob_hole,prob_scratch,prob_rust,width,height,aspect_ratio,blur_score,mean_brightness,contrast_rms,quality_status,quality_issues,has_gradcam
ext_crack_01.png,external_test\ext_crack_01.png,External Test (Unseen Domain),Crack,Hole,1.0,High (>=90%),False,0.0,0.0,1.0,0.0,0.0,256,256,1.0,349.39,150.59,18.13,VALID,None,Yes
ext_hole_01.png,external_test\ext_hole_01.png,External Test (Unseen Domain),Hole,Crack,1.0,High (>=90%),False,1.0,0.0,0.0,0.0,0.0,256,256,1.0,168.61,148.81,24.38,VALID,None,Yes
ext_normal_01.png,external_test\ext_normal_01.png,External Test (Unseen Domain),Normal,Scratch,0.8286,Medium (70-89%),False,0.1712,0.0,0.0001,0.8286,0.0,256,256,1.0,14.11,152.23,9.75,LOW_QUALITY,Potential excessive blur (Laplacian variance 14.1 < 80.0),Yes
ext_rust_01.png,external_test\ext_rust_01.png,External Test (Unseen Domain),Rust,Crack,0.8845,Medium (70-89%),False,0.8845,0.0001,0.0249,0.0894,0.0011,256,256,1.0,41.81,148.72,17.68,LOW_QUALITY,Potential excessive blur (Laplacian variance 79.5 < 80.0),Yes
ext_scratch_01.png,external_test\ext_scratch_01.png,External Test (Unseen Domain),Scratch,Scratch,0.9968,High (>=90%),True,0.0032,0.0,0.0,0.9968,0.0,256,256,1.0,237.16,153.17,12.08,VALID,None,Yes
crack_01973.png,dataset/raw/crack/crack_01973.png,Held-Out Test Set (Split),Crack,Crack,0.9735,High (>=90%),True,0.9735,0.0086,0.0119,0.003,0.003,256,256,1.0,16.03,85.09,11.9,LOW_QUALITY,Potential excessive blur (Laplacian variance 16.0 < 80.0),Yes
crack_00456.png,dataset/raw/crack/crack_00456.png,Held-Out Test Set (Split),Crack,Crack,0.9928,High (>=90%),True,0.9928,0.0021,0.0013,0.0034,0.0003,256,256,1.0,11.57,95.09,12.57,LOW_QUALITY,Potential excessive blur (Laplacian variance 11.6 < 80.0),Yes
crack_02491.png,dataset/raw/crack/crack_02491.png,Held-Out Test Set (Split),Crack,Crack,0.362,Low (<70%),True,0.362,0.3159,0.1352,0.0761,0.1108,256,256,1.0,171.03,112.57,14.43,VALID,None,Yes
crack_02596.png,dataset/raw/crack/crack_02596.png,Held-Out Test Set (Split),Crack,Crack,0.9985,High (>=90%),True,0.9985,0.0007,0.0003,0.0002,0.0003,256,256,1.0,117.26,147.13,11.04,VALID,None,Yes
crack_00607.png,dataset/raw/crack/crack_00607.png,Held-Out Test Set (Split),Crack,Crack,0.9783,High (>=90%),True,0.9783,0.0009,0.0019,0.0144,0.0045,256,256,1.0,27.38,172.19,10.92,LOW_QUALITY,Potential excessive blur (Laplacian variance 27.4 < 80.0),Yes
crack_02399.png,dataset/raw/crack/crack_02399.png,Held-Out Test Set (Split),Crack,Crack,0.6833,Low (<70%),True,0.6833,0.1181,0.0882,0.0327,0.0778,256,256,1.0,21.15,121.21,10.99,LOW_QUALITY,Potential excessive blur (Laplacian variance 21.2 < 80.0),Yes
crack_00148.png,dataset/raw/crack/crack_00148.png,Held-Out Test Set (Split),Crack,Crack,0.8135,Medium (70-89%),True,0.8135,0.0823,0.0185,0.0199,0.0658,256,256,1.0,49.8,100.53,11.5,LOW_QUALITY,Potential excessive blur (Laplacian variance 49.8 < 80.0),Yes
normal_01954.png,dataset/raw/normal/normal_01954.png,Held-Out Test Set (Split),Normal,Normal,0.9181,High (>=90%),True,0.0349,0.9181,0.0362,0.0064,0.0044,256,256,1.0,11.17,97.94,13.25,LOW_QUALITY,Potential excessive blur (Laplacian variance 11.2 < 80.0),Yes
normal_00362.png,dataset/raw/normal/normal_00362.png,Held-Out Test Set (Split),Normal,Normal,0.4734,Low (<70%),True,0.084,0.4734,0.2892,0.0315,0.1219,256,256,1.0,10.41,90.09,10.11,LOW_QUALITY,Potential excessive blur (Laplacian variance 10.4 < 80.0),Yes
normal_02296.png,dataset/raw/normal/normal_02296.png,Held-Out Test Set (Split),Normal,Normal,0.8173,Medium (70-89%),True,0.0288,0.8173,0.0895,0.0332,0.0312,256,256,1.0,2.89,53.22,5.06,LOW_QUALITY,Potential excessive blur (Laplacian variance 2.9 < 80.0),Yes
normal_02465.png,dataset/raw/normal/normal_02465.png,Held-Out Test Set (Split),Normal,Normal,0.9145,High (>=90%),True,0.0175,0.9145,0.0467,0.0129,0.0083,256,256,1.0,11.16,86.77,10.91,LOW_QUALITY,Potential excessive blur (Laplacian variance 11.2 < 80.0),Yes
normal_00567.png,dataset/raw/normal/normal_00567.png,Held-Out Test Set (Split),Normal,Normal,0.6259,Low (<70%),True,0.1734,0.6259,0.1547,0.0143,0.0317,256,256,1.0,5.05,159.96,8.46,LOW_QUALITY,Potential excessive blur (Laplacian variance 5.0 < 80.0),Yes
normal_02230.png,dataset/raw/normal/normal_02230.png,Held-Out Test Set (Split),Normal,Normal,0.892,Medium (70-89%),True,0.0358,0.892,0.0522,0.0102,0.0098,256,256,1.0,4.5,63.44,10.68,LOW_QUALITY,Potential excessive blur (Laplacian variance 4.5 < 80.0),Yes
